IP_Address,Local_Preference,MED,AS_Path,Community,Output
100.20.4.5,133,4,12,0:2122,True
100.10.3.4,215,3,21,0:1,False
100.10.3.4,133,2,12,0:0,True
100.20.4.5,137,7,11,0:22212,False
100.20.4.5,133,4,43688,0:0 0:9,True
100.20.4.5,133,3,22,0:1,True
100.20.4.5,133,3,22,0:11,True
100.20.4.5,133,3,22,0:112,True
100.20.4.5,133,3,22,0:0 0:13,True
100.30.1.2,133,7,22,0:112,False
100.30.1.2,133,4,43645,0:0 0:6,True
100.30.1.2,133,3,22,0:1,True
100.30.1.2,133,3,22,0:11,True
100.30.1.2,133,3,22,0:112,True
100.30.1.2,133,3,22,0:2122,True
100.30.1.2,133,3,22,0:22212,True
100.30.1.2,133,3,12,0:0 0:9,True
100.10.3.4,145,3,22,0:0,False
100.20.4.5,133,3,43617,0:1,True
100.20.4.5,133,3,43688,0:11,True
100.20.4.5,102,1,43645,0:112,True
100.20.4.5,133,3,43617,0:2122,True
100.20.4.5,102,1,43645,0:22212,True
100.20.4.5,133,3,43617,0:0,True
100.20.4.5,133,4,43688,0:0 0:3,True
100.20.4.5,133,3,43688,0:0 0:6,True
100.20.4.5,261,3,43688,0:0 0:13,True
100.20.4.5,145,4,43688,0:0 0:9,False
100.20.4.5,133,3,22,0:22212,True
100.20.4.5,133,3,22,0:0,True
100.20.4.5,133,3,22,0:0 0:3,True
100.20.4.5,133,3,22,0:0 0:6,True
100.20.4.5,133,3,22,0:0 0:9,True
100.20.4.5,145,3,22,0:0 0:13,False
100.30.1.2,133,3,43688,0:1,True
100.10.3.4,140,8,43645,0:11,True
100.10.3.4,133,4,43688,0:112,True
100.10.3.4,133,3,43617,0:2122,True
100.10.3.4,133,3,43617,0:22212,True
100.10.3.4,133,3,43617,0:0,True
100.10.3.4,140,8,43688,0:0 0:3,True
100.10.3.4,128,3,43645,0:0 0:9,True
100.10.3.4,145,4,43645,0:0 0:6,False
100.30.1.2,133,3,22,0:0 0:3,True
100.30.1.2,133,3,22,0:0 0:6,True
100.30.1.2,133,3,22,0:0 0:13,True
100.10.3.4,145,3,22,0:0 0:9,False
100.20.4.5,145,4,43645,0:0,False
100.20.4.5,145,4,43688,0:0 0:3,False
100.20.4.5,145,4,43617,0:0 0:6,False
100.20.4.5,145,4,43617,0:0 0:13,False
100.20.4.5,145,3,22,0:0,False
100.20.4.5,145,3,22,0:0 0:3,False
100.20.4.5,145,3,22,0:0 0:6,False
100.20.4.5,145,3,22,0:0 0:9,False
100.10.3.4,145,4,43617,0:0,False
100.30.1.2,145,4,43617,0:0 0:3,False
100.30.1.2,261,3,43645,0:0 0:13,True
100.30.1.2,145,4,43688,0:0 0:9,False
100.10.3.4,145,3,22,0:0 0:3,False
100.10.3.4,145,3,22,0:0 0:6,False
100.10.3.4,145,3,22,0:0 0:13,False
100.10.3.4,145,4,43645,0:0 0:13,False
